iter	Passed	Remaining
0	30	9256
1	62	9290
2	93	9280
3	126	9383
4	157	9317
5	190	9311
6	221	9271
7	249	9122
8	279	9046
9	306	8893
10	335	8803
11	364	8753
12	393	8677
13	421	8616
14	449	8540
15	474	8425
16	503	8378
17	530	8317
18	559	8273
19	585	8203
20	612	8143
21	641	8101
22	667	8045
23	693	7972
24	718	7902
25	745	7851
26	771	7802
27	799	7768
28	826	7722
29	850	7658
30	877	7613
31	903	7562
32	930	7528
33	957	7492
34	982	7440
35	1008	7395
36	1033	7344
37	1059	7306
38	1084	7255
39	1110	7219
40	1134	7167
41	1161	7134
42	1188	7105
43	1213	7061
44	1237	7011
45	1262	6973
46	1287	6930
47	1314	6901
48	1338	6857
49	1365	6825
50	1391	6796
51	1418	6765
52	1444	6734
53	1472	6706
54	1498	6674
55	1523	6639
56	1546	6592
57	1569	6546
58	1595	6518
59	1619	6478
60	1644	6441
61	1668	6403
62	1690	6361
63	1714	6323
64	1741	6295
65	1766	6263
66	1792	6233
67	1818	6205
68	1842	6168
69	1865	6128
70	1889	6094
71	1917	6071
72	1940	6034
73	1966	6004
74	1989	5969
75	2016	5942
76	2039	5906
77	2063	5872
78	2089	5844
79	2114	5813
80	2140	5786
81	2163	5750
82	2186	5716
83	2213	5692
84	2240	5666
85	2264	5634
86	2289	5606
87	2317	5583
88	2342	5553
89	2368	5526
90	2396	5503
91	2419	5470
92	2443	5439
93	2469	5411
94	2495	5385
95	2520	5355
96	2544	5324
97	2570	5298
98	2594	5267
99	2618	5237
100	2645	5212
101	2670	5183
102	2694	5154
103	2717	5121
104	2742	5093
105	2767	5065
106	2791	5034
107	2814	5002
108	2842	4980
109	2866	4951
110	2892	4925
111	2919	4901
112	2946	4876
113	2971	4848
114	2994	4817
115	3019	4789
116	3044	4762
117	3073	4740
118	3097	4711
119	3120	4680
120	3144	4652
121	3169	4624
122	3193	4595
123	3218	4568
124	3243	4541
125	3266	4511
126	3290	4482
127	3315	4454
128	3341	4428
129	3368	4404
130	3393	4377
131	3419	4351
132	3442	4322
133	3467	4296
134	3495	4272
135	3520	4245
136	3543	4216
137	3567	4187
138	3591	4160
139	3619	4136
140	3644	4109
141	3670	4083
142	3694	4056
143	3718	4028
144	3744	4002
145	3767	3974
146	3791	3946
147	3817	3920
148	3840	3892
149	3867	3867
150	3891	3839
151	3915	3812
152	3938	3783
153	3966	3760
154	3990	3733
155	4014	3706
156	4036	3676
157	4060	3649
158	4083	3621
159	4106	3593
160	4130	3565
161	4158	3542
162	4184	3517
163	4207	3489
164	4232	3462
165	4256	3436
166	4281	3409
167	4304	3382
168	4331	3357
169	4356	3331
170	4378	3303
171	4403	3277
172	4429	3251
173	4457	3227
174	4480	3200
175	4503	3173
176	4529	3147
177	4553	3121
178	4576	3093
179	4604	3069
180	4627	3042
181	4652	3016
182	4676	2989
183	4702	2964
184	4727	2938
185	4751	2912
186	4777	2886
187	4800	2859
188	4822	2832
189	4849	2807
190	4873	2781
191	4897	2755
192	4921	2728
193	4947	2703
194	4973	2677
195	4996	2651
196	5021	2625
197	5047	2600
198	5071	2573
199	5094	2547
200	5119	2521
201	5144	2495
202	5169	2470
203	5193	2444
204	5216	2417
205	5241	2391
206	5265	2365
207	5288	2338
208	5313	2313
209	5337	2287
210	5360	2260
211	5383	2234
212	5409	2209
213	5431	2182
214	5455	2156
215	5479	2131
216	5504	2105
217	5527	2078
218	5553	2053
219	5578	2028
220	5602	2002
221	5626	1976
222	5650	1950
223	5674	1925
224	5699	1899
225	5723	1874
226	5747	1848
227	5771	1822
228	5796	1797
229	5821	1771
230	5845	1745
231	5872	1721
232	5897	1695
233	5920	1669
234	5944	1644
235	5969	1618
236	5993	1593
237	6018	1567
238	6041	1541
239	6066	1516
240	6089	1490
241	6113	1465
242	6137	1439
243	6162	1414
244	6186	1388
245	6211	1363
246	6237	1338
247	6261	1312
248	6284	1287
249	6309	1261
250	6332	1236
251	6357	1210
252	6379	1185
253	6403	1159
254	6426	1134
255	6450	1108
256	6475	1083
257	6497	1057
258	6523	1032
259	6548	1007
260	6573	982
261	6597	956
262	6621	931
263	6648	906
264	6671	881
265	6698	856
266	6723	830
267	6748	805
268	6773	780
269	6795	755
270	6820	729
271	6843	704
272	6867	679
273	6892	654
274	6917	628
275	6939	603
276	6965	578
277	6992	553
278	7015	528
279	7039	502
280	7064	477
281	7090	452
282	7114	427
283	7140	402
284	7164	377
285	7187	351
286	7210	326
287	7236	301
288	7258	276
289	7283	251
290	7305	225
291	7329	200
292	7354	175
293	7378	150
294	7402	125
295	7427	100
296	7451	75
297	7473	50
298	7495	25
299	7520	0
